track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Lyrics
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413,22,33,34,7,184,120,,Major,81,63,68,11,0,11,4,"This is the Big One

Woh, te invito a dar una vuelta con los del espacio
Las gatas se ponen fuerte' y no van al gimnasio
Los gatos se ponen locos, no sienten cansancio
Esta noche yo te robo y cerramos el caso

Uh, uh-uh-uh
Esperé todo el día a que la noche caiga, y ahora
Uh, uh-uh-uh
La noche no termina hasta que el sol salga

En cámara lenta
Te pegaste conmigo y no te diste cuenta
Que esta noche te suelta'
Yo sé que te tienta
Me pediste un Fernet, te lo hice 70-30
El party revienta
Y en cámara lenta
Te pegaste conmigo y no te diste cuenta
Que esta noche te suelta'
Yo sé que te tienta
Me pediste un Fernet, te lo hice 70-30
Y el party revienta

L-I-T

Se fue con los del space, vino pa' la casa sin Waze
Para vernos face to face
Dame el OK y mándame location
Te pone' triple X como XXXTentacion, mami

Hicimo' un after en la house
Bailando reggaetón y house
En tu cuerpo te puse ""MAWZ""

Mi-mi amor, ¿a dónde nos vamos?
Te llevo a Miami a pasar el verano
A un lugar lejano, tú y yo mano a mano
Tú eres del espacio, tú eres de otro plano

Ese culito me lo estudié como para una tesis
Cómo esta' tan buena, tú esta' crazy
Conquista territorio cuando sale con la bestie
Róbame un besito pa' la selfie

Es profesional, 'ta jugando en primera
La baby está internacional, la conocen afuera
Ya supiste, mami
¿En qué momento ganaste esta carrera?
La velocidad le gusta, no pregunta y acelera

Nos fuimos echando humo (Humo)
Le gustan argentinos, quiere un campeón del mundo

Me invitó a la pista y es donde la mato
Él me dijo ""Ya supiste"" y yo sabía hace rato
Hoy la noche está perfecta, esto nos sale innato
Todos miran porque llegan los del espacio

Nos pegamos pa' que me baile
Juntos nos quitamos hasta el aire
Aprovéchame, soy tu prioridad
Nunca le des el gusto a nadie

Me puse los Valenti'
Ya te di la garanti'
Te maté, fatality
Dime si tú crees en mí

Donde hubo fuego, cenizas quedan
Mezclamos alcohol, playa y arena
La quemó el sol, baila, morena
Salió del mar como una sirena

Nena, prende y pásalo
Amanecimos tú y yo
Ca-cada vez mejor lo que pasa en la habitación
Nena, prende y pásalo

Uh, uh-uh-uh
Esperé todo el día a que la noche caiga, y ahora
Uh, uh-uh-uh
La noche no termina hasta que el sol salga

En cámara lenta
Te pegaste conmigo y no te diste cuenta
Que esta noche te suelta'
Yo sé que te tienta
Me pediste un Fernet, te lo hice 70-30
El party revienta

Llegamo' y se caen los gistros
To' sudao, apretadito
Este party está maldito
Estamo' a fuego, estamo' a nitro

La presión subió, hace calor
Dame otro shot
Que esta noche es pa' meterle

Agresivo
Los CEO del perreo
Aunque nos miren feo
Saben que lo rompemos

Y agresivo
Los CEO del perreo
Aunque nos miren feo
Saben que lo rompemos

Mami, tengo a los del espa'
Vamo' a Arias 2253
Pa' terminar lo que empecé
Diste luz cuando te besé

A mí me encanta ver cómo lo prendes
Conmigo el party nunca se suspende
Llegamos a casa, soy su bartender
Y pa' su amiga el cabrón que la atiende

Ey, las 4 a.m., las 5 a.m.
Con esa bebé yo no frené
La invité al after porque se parte
Qué bueno darte y darte otra vez

La llevé pa' Neco y quedó amando el Sur
Ahora está pidiendo que la sume al tour
Tomando algo rosa que no es Majin Buu

Estamos ready, la luna es llena
Y con to' mi' perros salimos a cazar
Si el party se pone y prendemo' blone'
Alguna gata se me va a pegar a perrear

En cámara lenta
Te pegaste conmigo y no te diste cuenta
Que esta noche te suelta'
Yo sé que te tienta
Me pediste un Fernet, te lo hice 70-30
Y el party revienta
Y en cámara lenta
Te pegaste conmigo y no te diste cuenta
Que esta noche te suelta'
Yo sé que te tienta
Me pediste un Fernet, te lo hice 70-30
El party revienta"
Fragil (feat. Grupo Frontera),"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502,19,108,24,9,212,150,F#,Major,61,39,73,37,0,11,3,"Perdón, es que no sé la razón y metí el corazón en donde no debía
No vi la señal de que iba en contra vía
Fui yo el que se ilusionó y aunque no funcionó yo te entregué mi vida
No me pidas disculpas que la culpa es mía

¿Por qué no tengo un corazón así?
Así como el que te dieron a ti
¿Por qué el que me tocó a mí es frágil?
Por eso lo rompiste fácil
Y yo queriendo un corazón así
Así como el que te dieron a ti
¿Por qué el que me tocó a mí es frágil?
Por eso lo rompiste fácil

Quisiera ser como tú, como tú, sin sentimientos
Que no me duela el alma cuando me estés mintiendo
Quisiera ser como tú y olvidar nuestros momentos
Pero no soy como tú, yo aquí sí me estoy muriendo

Y ahí te va, chiquitita
Y eso es Grupo Frontera
Yahrtiza Y Su Esencia

¿Por qué no tengo un corazón así?
Así como el que te dieron a ti
¿Por qué el que me tocó a mí es frágil?
Por eso lo rompiste fácil
Y yo queriendo un corazón así
Así como el que te dieron a ti
¿Por qué el que me tocó a mí es frágil?
Por eso lo rompiste fácil

Quisiera ser como tú, como tú, sin sentimientos
Que no me duela el alma cuando me estés mintiendo
Quisiera ser como tú y olvidar nuestros momentos
Pero no soy como tú, yo aquí sí me estoy muriendo"
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,"Nice to meet you, where you been?
I could show you incredible things
Magic, madness, heaven, sin
Saw you there, and I thought
""Oh my God, look at that face
You look like my next mistake
Love's a game, wanna play?""
Ayy

New money, suit and tie
I can read you like a magazine
Ain't it funny? Rumors fly
And I know you heard about me
So hey, let's be friends
I'm dying to see how this one ends
Grab your passport and my hand
I can make the bad guys good for a weekend

So it's gonna be forever
Or it's gonna go down in flames
You can tell me when it's over, mm
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game

'Cause we're young and we're reckless
We'll take this way too far
It'll leave you breathless, hmm
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name

Cherry lips, crystal skies
I could show you incredible things
Stolen kisses, pretty lies
You're the King, baby, I'm your Queen
Find out what you want
Be that girl for a month
Wait, the worst is yet to come, oh no

Screaming, crying, perfect storms
I can make all the tables turn
Rose garden filled with thorns
Keep you second guessing like
""Oh my God, who is she?""
I get drunk on jealousy
But you'll come back each time you leave
'Cause, darling, I'm a nightmare dressed like a daydream

So it's gonna be forever
Or it's gonna go down in flames
You can tell me when it's over, mm
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game

'Cause we're young and we're reckless
We'll take this way too far
It'll leave you breathless, hmm
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name

Boys only want love if it's torture
Don't say I didn't, say I didn't warn ya
Boys only want love if it's torture
Don't say I didn't say, I didn't warn ya

So it's gonna be forever
Or it's gonna go down in flames
You can tell me when it's over, mm
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game

'Cause we're young and we're reckless
We'll take this way too far
It'll leave you breathless, hmm
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name"
Style,Taylor Swift,1,2014,1,1,7830,42,786181836,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,"Midnight
You come and pick me up, no headlights
Long drive
Could end in burning flames or paradise
Fade into view, oh, it's been a while since I have even heard from you (heard from you)

I should just tell you to leave 'cause I
Know exactly where it leads but I
Watch us go 'round and 'round each time

You got that James Dean daydream look in your eye
And I got that red lip classic thing that you like
And when we go crashing down, we come back every time
'Cause we never go out of style
We never go out of style

You got that long hair, slicked back, white t-shirt
And I got that good girl faith and a tight little skirt
And when we go crashing down, we come back every time
'Cause we never go out of style
We never go out of style

So it goes
He can't keep his wild eyes on the road
Takes me home
Lights are off, he's taking off his coat, hmm, yeah
I say, ""I heard, oh, that you've been out and about with some other girl, some other girl.""

He says, ""What you've heard is true but I
Can't stop thinking about you,"" and I
I said, ""I've been there, too, a few times.""

'Cause you got that James Dean daydream look in your eye
And I got that red lip classic thing that you like
And when we go crashing down, we come back every time
'Cause we never go out of style
We never go out of style

You got that long hair, slicked back, white t-shirt
And I got that good girl faith and a tight little skirt (tight little skirt)
And when we go crashing down, we come back every time
'Cause we never go out of style (We never go, we never go)
We never go out of style

Take me home
Just take me home, yeah
Just take me home
(Out of style)

You got that James Dean daydream look in your eye
And I got that red lip classic thing that you like
And when we go crashing down (when we go)
We come back every time
'Cause we never go out of style
We never go out of style"
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476,16,159,15,6,100,125,F,Minor,79,96,85,27,0,11,6,"De Psycho Bunny o de Burberry
Fumando pura motita Cherry
Super dorada, cachas de San Judas
Las morras fresas me ponen débil

Una gorrita de esas del pescado
Tapan la mirada, poco saben de mí
Venadeando, mandando botones
Y en el putero me dicen ""El baby""

Me dicen ""TQM"" cuando ven el BM
Voy partiendo el queso de JGL
Siempre oloroso, le lavo, me quieren
Haciendo feria, consigna de Iván y vienen

Ya ando enfiestado y parece un festín
Quiero despertar mirando hasta Perry
Perrillo trucha que no anda de oquis
Y esta princesa pide que le dé un kiss

Cinco a redonda son los anillos
Pa' un imprevisto, que me saquen de aquí
Rumbo pa'l depa' ya suena Pepas
Y ando bien Travis, tráiganme a la Kylie

Me dicen ""TQM"" cuando ven el BM
Voy partiendo el queso de JGL
Siempre oloroso, le lavo, me quieren
Haciendo feria, consigna de Iván y vienen"
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408,10,107,6,3,62,144,A,Minor,56,84,65,23,0,10,6,"Qué detallazo pa' mensajear con la muerte
Una con siete chinos que de retrato trae
Al señor de la montaña, de los drones y demás

Cuernos del diablo junto a mi seguridad
Viejo lobo en verguiza para el polvo traficar
Dios siempre me cuida y mi gorrita de Elegua

En la sangre traigo el 701
Melena de león, pues vengo de uno
Siempre amafiado, pues no somos culos

Bajo perfil el chavalón y se le extraña
Aunque se fue, nunca se le olvida
Bélicos ya somos, bélicos morimos

Y con el corridón del ángel azul
A Dios le pido perdón por los pecados
Pero así es esto

Rolls-Royce azul
Como el de aquellos botones
Que pa' la finiquera seguido ya han de brincar
Me enamoró el dinero, quiero, quiero y quiero más

Cuernos del diablo y un comando mi seguridad
Viejo lobo en verguiza para el polvo traficar
Dios siempre me cuida y mi gorrita de Elegua

En la sangre traigo el 701
Melena de un león, pues vengo de uno
Siempre amafiados, pues no somos culos

Bajo perfil el chavalón y se le extraña
A un Ruíz, el que nunca se olvida
Bélicos somos, bélicos morimos

Y con el corridón del ángel azul
Le pido perdón a mi Dios por los pecados
Pero así es esto"
Sunflower,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550,372,117,843,4,69,90,D,Major,76,91,50,54,0,7,5,
I'm Good Blue,"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169,291,184,537,45,727,128,G,Minor,56,38,97,4,0,35,4,"I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright
'Cause I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright

Don't you know I'm good, yeah, I'm feelin' alright

You know I'm down for whatever tonight
I don't need the finer things in life
No matter where I go, it's a good time, yeah
And I, I don't need to sit in VIP
Middle of the floor, that's where I'll be
Don't got a lot, but that's enough for me, yeah

'Cause I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright

I'm good
Good
I'm good
Don't you know I'm good, yeah, I'm feelin' alright

So I just let it go, let it go
Oh, na-na-na-na-na
No, I don't care no more, care no more
Oh, na-na-na-na-na
So come on, let me know, let me know
Put your hands up, na-na-na
No, baby, nothing's gonna stop us tonight

'Cause I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright"
See You Again,"Tyler The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291,77,58,247,1,311,79,F#,Major,56,58,56,37,0,11,10,
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199,82,145,65,16,"1,133",144,,Major,77,75,58,52,0,23,25,"I'm always yours, ooh woah (Stop playin' with 'em, RIOT)

And I'm bad like the Barbie (Barbie)
I'm a doll, but I still wanna party (Party)
Pink 'Vette like I'm ready to bend (Bend)
I'm a ten, so I pull in a Ken
Like Jazzie, Stacie, Nicki (Grrah)
All of the Barbies is pretty (Damn)
All of the Barbies is bad
It girls (It girls) and we ain't playin' tag (Grrah)

Rad, but he spank me when I get bad
I'm in LA, Rodeo Drive
I'm in New York, Madison Ave
I'm a Barbie girl (Girl), Pink Barbie Dreamhouse
The way Ken be killin' shit got me yellin' out like the Scream house (Woo)
Yellin' out, we ain't sellin' out
We got money, but we ain't lendin' out
We got bars, but we ain't bailin' out
In that pink Ferrari, we peelin' out
I told Tae bring the Bob Dylan out
That pussy so cold, we just chillin' out
They be yellin', yellin', ye-yellin' out
It's Barbie, bitch, if you still in doubt (Oh)

And I'm bad like the Barbie (Barbie)
I'm a doll, but I still wanna party (Party)
Pink 'Vette like I'm ready to bend (Bend)
I'm a ten, so I pull in a Ken
Like Jazzie, Stacie, Nicki (Grrah)
All of the Barbies is pretty (Damn)
All of the Barbies is bad
It girls (It girls) and we ain't playin' tag (Grrah)

Barbie ain't nothin' to play 'bout
He wanna play in the Playhouse (Playhouse)
The fuck they gon' say now? (Grrah)
I'm washin' these bitches, I'm rubbin' the stain out
Like I'm ready to bend (Grrah)
All the fake Barbies just wanna pretend (Hey)
Like hold on, let me go find me a pen (Grrah)
Look where it led, now I'ma put it to bed
She a Barbie bitch with her Barbie clique (Grrah)
I keep draggin' her, so she bald a bit (Damn)
And I see the bread, I want all of it (Damn)
And I want the green, so I olive it (Grrah)
And I throw it back, so he losin' it (Like)
And I give the box with no shoes in it (Damn)
Yeah, I know the trick, so I got him bricked (Damn)
Yeah, they know who lit, me and Barbie, bitch

And I'm bad like the Barbie (Barbie)
I'm a doll, but I still wanna party (Party)
Pink 'Vette like I'm ready to bend (Bend)
I'm a ten, so I pull in a Ken
Like Jazzie, Stacie, Nicki (Grrah)
All of the Barbies is pretty (Damn)
All of the Barbies is bad
It girls (It girls) and we ain't playin' tag (Grrah)

I'm a Barbie girl in the Barbie world
Life in plastic, it's fantastic
You can brush my hair, undress me everywhere
Imagination, life is your creation"
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054,65,48,138,1,102,122,F,Major,67,49,64,10,0,10,3,"Flowers in hand, waiting for me
Every word in poetry
Won't call me by name, only ""Baby""
The more that you give the less that I
Need everyone says I look happy
When it feels right

I know that you're wrong for me
Gonna wish we never met on the day I leave
I brought you down to your knees
'Cause they say that misery loves company
It's not your fault I ruin everything
And it's not your fault I can't be what you need
Baby, angels like you can't fly down hell with me
I'm everything they said I would be
La-la-la
I'm everything they said I would be

I'll put you down slow, love you, goodbye
Before you let go, just one more time
Take off your clothes, pretend that it's fine
A little more hurt won't kill you
Tonight my mom says, ""You don't look happy""
Close your eyes

I know that you're wrong for me
Gonna wish we never met on the day I leave
I brought you down to your knees
'Cause they say that misery loves company
It's not your fault I ruin everything
And it's not your fault I can't be what you need
Baby, angels like you can't fly down hell with me
I'm everything they said I would be

I know that you're wrong for me
Gonna wish we never met on the day I leave
I brought you down to your knees
'Cause they say that misery loves company
It's not your fault I ruin everything
And it's not your fault I can't be what you need
Baby, angels like you can't fly down hell with me, oh-oh
Angels like you can't fly down hell with me"
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420,241,127,458,37,332,140,,Major,71,82,81,11,0,6,5,"I don't know what you've been told
But time is running out, no need to take it slow
I'm stepping to you toe-to-toe
I should be scared, honey, maybe so

But I ain't worried 'bout it right now (Right now)
Keeping dreams alive, 1999, heroes
I ain't worried 'bout it right now (Right now)
Swimmin' in the floods, dancing on the clouds below

I ain't worried 'bout it
I ain't worried 'bout it (Hey)

I don't know what you've been told
But time is running out so spend it like it's gold
I'm living like I'm nine-zeros
Got no regrets even when I am broke (Yeah)
I'm at my best when I got something I'm wanting to steal
Way too busy for them problems and problems to feel (Yeah, yeah)
No stressing, just obsessing with sealing the deal
I'll take it in and let it go

But I ain't worried 'bout it right now (Right now)
Keeping dreams alive, 1999, heroes
I ain't worried 'bout it right now (Right now)
Swimmin' in the floods, dancing on the clouds below

I ain't worried 'bout it
I ain't worried 'bout it (Hey)

Ooh, I ain't worried
Ooh, oh, no, no

I ain't worried 'bout it right now (Right now)
Keeping dreams alive, 1999, heroes
I ain't worried 'bout it right now (Right now)
Swimmin' in the floods, dancing on the clouds below

I ain't worried 'bout it (Ooh, hey)
I ain't worried 'bout it (Ooh, hey)

I ain't worried 'bout it"
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401,68,21,24,0,259,134,C#,Minor,59,51,52,9,0,15,7,
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693,281,137,"2,445",1,140,186,G,Major,68,49,59,16,0,13,28,"I'm tryna put you in the worst mood, ah
P1 cleaner than your church shoes, ah
Milli point two just to hurt you, ah
All red lamb just to tease you, ah
None of these toys on lease too, ah
Made your whole year in a week too, yeah
Main bitch out of your league too, ah
Side bitch out of your league too, ah

House so empty, need a centerpiece
Twenty racks, a table cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face, man
I love my baby
You talking money, need a hearing aid
You talking 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

Ha-ha-ha-ha-ha-ha-ha-ha-ha-ha
Look what you've done!
Ha-ha-ha-ha-ha-ha-ha-ha-ha-ha
I'm a motherfuckin' Starboy
Ha-ha-ha-ha-ha-ha-ha-ha-ha-ha
Look what you've done!
Ha-ha-ha-ha-ha-ha-ha-ha-ha-ha
I'm a motherfuckin' Starboy

Every day a nigga try to test me, ah
Every day a nigga try to end me, ah
Pull off in that roadster SV, ah
Pockets over weight getting hefty, ah
Coming for the king, that's a far cry
I come alive in the fall time I
No competition, I don't really listen
I'm in the blue Mulsanne bumping New Edition

House so empty, need a centerpiece
Twenty racks, a table cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face, man
I love my baby
You talking money, need a hearing aid
You talking 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

Ha-ha-ha-ha-ha-ha-ha-ha-ha-ha
Look what you've done!
Ha-ha-ha-ha-ha-ha-ha-ha-ha-ha
I'm a motherfuckin' Starboy
Ha-ha-ha-ha-ha-ha-ha-ha-ha-ha
Look what you've done!
Ha-ha-ha-ha-ha-ha-ha-ha-ha-ha
I'm a motherfuckin' Starboy

Let a nigga brag Pitt
Legend of the fall took the year like a bandit
Bought mama a crib and a brand new wagon
Now she hit the grocery shop looking lavish
Star Trek roof in that Wraith of Khan
Girls get loose when they hear this song
Hundred on the dash get me close to God
We don't pray for love, we just pray for cars

House so empty, need a centerpiece
Twenty racks, a table cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face
Man, I love my baby
You talking money, need a hearing aid
You talking 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

Ha-ha-ha-ha-ha-ha-ha-ha-ha-ha
Look what you've done!
Ha-ha-ha-ha-ha-ha-ha-ha-ha-ha
I'm a motherfuckin' Starboy
Ha-ha-ha-ha-ha-ha-ha-ha-ha-ha
Look what you've done!
Ha-ha-ha-ha-ha-ha-ha-ha-ha-ha
I'm a motherfuckin' Starboy

Ha-ha-ha-ha-ha-ha-ha-ha-ha-ha
Look what you've done!
Ha-ha-ha-ha-ha-ha-ha-ha-ha-ha
I'm a motherfuckin' Starboy
Ha-ha-ha-ha-ha-ha-ha-ha-ha-ha
Look what you've done!
Ha-ha-ha-ha-ha-ha-ha-ha-ha-ha
I'm a motherfuckin' Starboy"
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108,87,86,74,1,16,67,C#,Minor,53,50,53,23,0,44,7,
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850,44,64,57,10,110,106,A#,Minor,72,17,64,7,0,10,5,"Yo la llevo al cielo
Ella se suelta el pelo
Se muerde los labios y así rompe el hielo
Así rompe el hielo

Tú sigue tocándote, que voy por los condones
Eso se le iba a explotar y yo se lo detoné

Yo la llevo al cielo
Cuando le doy los kisses
Le quito las Yeezy
Y la jalo del pelo
Así rompemo' el hielo

Siempre que le bajo
Es con los hielo' en la boca pa' que sienta el frío
Quiere desquitarse conmigo 'e lo que ha sufrido
Mami, yo siempre desconfío, llegué con la máscara como Sub-Zero

Ready pa'l combate encima del matre'
Déjate llevar, quiero al cielo elevarte
Eso allá abajo se moja al hablarte
Dudo que llegue a amarte

La bellaquera en ascenso
Tabaco, botando el humo denso
Pa' chingar yo la convenzo
Después de un perreo intenso

Ella me vio con Sky
Rompiendo el bajo
Y con Feid
Desde entonces con sus parceras le cae
Codeína con la Sprite

Pa' llevarla al cielo
Ella se suelta el pelo
Se muerde los labios y así rompe el hielo
Mami, qué reguero
Tú sigue tocándote, que voy por los condones
Eso se te iba a explotar y yo te lo detoné

Yo la llevo al cielo
Cuando le doy los kisses
Le quito las Yeezy
Y la jalo del pelo
Así rompemo' el hielo

El party en el depa, color verde la mota
En toda la noche no se bajó de la troca
Cuando le hablo nea se le cae la ropa
Acicalaíta, el Ferxxo no la rota

En el cielo se le olvidan los modales
El abdomencito y ese booty, naturales
Nena del caserío, flow Wibal & Alex
Rompimo' el hielo en el perreo de la disco

Cuando ella se despidió otra más me pidió
Cogió mi número y después me escribió
Fuimos pa' donde no nos vieran
Ella me sacó la polera, qué rico, mami, que hicimos de to'

Tú sigue tocándote, que voy por los condones
Eso se le iba a explotar y yo se lo detoné

Yo la llevo al cielo
Cuando le doy los kisses
Le quito las Yeezy
Y la jalo del pelo
Así rompemo' el hielo

Tú rompe el hielo
Y tranquila, que yo lo derrito
Tú en falda me tienes ciego
Porque soy yo el que siempre la incito"
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666,145,111,213,11,810,128,G,Major,60,23,91,0,0,12,3,"I want you for the dirty and clean
When you're wakin' in your dreams
When you bite my tongue and make me scream (and make me scream)
See, I got everything that you need
Ain't nobody gon' do it like me
We are burning at a high degree (at a high degree)

And you make me feel like it burns, and it hurts
Uh, baby, that's part of the rush, this is us

What is love?
Baby, don't hurt me
Don't hurt me, no more
What is love?
Baby, don't hurt me
Don't hurt me, no more
What is love?

What is love?
Yeah, yeah

I walk it, I talk it, I live it
What we do behind doors, it's our business
On my body, he givin' me kisses
I'm well when I'm with him, I'm poppin' like Adderall
Baby, dive in my beach and go swimmin'
Let's go deep 'cause you know there's no limits
Like I'm stronger than you and I'm sippin'
I'm still gonna finish, I'm drunk, I ain't had enough

One day you're in and you go
Tellin' me lies and it's killin' me slowly (yeah, yeah)

What is love?
Baby, don't hurt me
Don't hurt me, no more
What is love?
Baby, don't hurt me
Don't hurt me (yeah), no more (no more)
What is love?

La-ra, la-ra-ra-ra, ra
La-ra-ra-ra, ra
La-ra-ra-ra, ra
What is love?
La-ra, la-ra-ra-ra, ra
La-ra-ra-ra, ra
La-ra-ra-ra, ra
Yeah, yeah, yeah

What is love?
Baby, don't hurt me
Don't hurt me, no more (yeah)
What is love?
Baby, don't hurt me
Don't hurt me, no more
What is love?"
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011,14,71,23,10,176,107,F#,Minor,92,55,70,18,0,15,7,"Si te dicen que yo me estoy curando, es la verdad

Ayer te vi
Aparentemente estabas contento, estabas feliz
Besándola a ella, así como antes me besaba' a mí
En parte me alegra que uno de los dos no esté llorando
Ojalá me piense de vez en cuando

Y aunque yo hago como si na'
Baby, qué amargura me da
Saber que ahora tú estás vacilando con otra
Por fuera me río, pero por adentro estoy rota
Y aunque yo hago como si na'
Baby, qué amargura me da
Saber que ahora tú estás vacilando con otra
Por fuera me río, pero por adentro estoy rota

Primero, quiero decirte que no hay un segundo
Que piense que te lo dañó un tercero
Sin ti se siente vacío el cuarto, insisto
Polvo llega, vamos hasta el quinto

Te extraño tanto, sin ti es distinto
Me duele ver cómo me deja' en visto
A veces pienso que me extraña un poquito
Yo misma los pajarito' me pinto

Qué mal que ya no estés aquí
Estaría tomándomelos contigo y no por ti, por ti
En coleccionista me volví
Guardando toa' las fotos, me volví más devota y ni así

Y aunque yo hago como si na'
Baby, qué amargura me da
Saber que ahora tú estás vacilando con otra
Por fuera me río, pero por adentro estoy rota
Y aunque yo hago como si na'
Baby, qué amargura me da
Saber que ahora tú estás vacilando con otra
Por fuera me río, pero por adentro estoy rota

Ey, esta canción
Que no me la pongan borracha, ¡hijueputa!
O-O-Ovy On the Drums"
It Goes Like Nanana,Peggy Gou,1,2023,6,15,2259,59,57876440,0,0,109,17,0,130,G,Minor,67,96,88,12,19,8,4,"I can't explain
I got a feeling that I just
I can't erase
Just a feeling that I won't
Won't leave behind
Because it's something that is on
It's on my mind
I guess it goes like

Nanana
Nanananana
Nanananana
Nanananana
Nanananana
Nanananana
Nanananana
Nanananana
Nanananana

I can't explain
I got a feeling that I just
I can't erase
Just a feeling that I won't
Won't leave behind
Because it's something that is on
It's on my mind
I guess it goes like

Nanana
Nanananana
Nanananana
Nanananana
Nanananana
Nanananana
Nanananana
Nanananana
Nanananana

I can't explain
I got a feeling that I just
I can't erase
Just a feeling that I won't
Won't leave behind
Because it's something that is on
It's on my mind
I guess it goes like

Nanana
Nanananana
Nanananana
Nanananana
Nanananana
Nanananana
Nanananana
Nanananana
Nanananana

I can't explain
I got a feeling that I just
I can't erase
Just a feeling that I won't
Won't leave behind
Because it's something that is on
It's on my mind
I guess it goes like

Nanana
Nanananana
Nanananana
Nanananana
Nanananana
Nanananana
Nanananana
Nanananana
Nanananana"
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666,250,122,"3,394",19,,123,E,Minor,45,13,54,70,0,9,4,"I wanna take you somewhere so you know I care
But it's so cold and I don't know where
I brought you daffodils in a pretty string
But they won't flower like they did last spring
And I wanna kiss you, make you feel alright
I'm just so tired to share my nights
I wanna cry and I wanna love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up, up

And if somebody hurts you, I wanna fight
But my hands been broken one too many times
So I'll use my voice, I'll be so fucking rude
Words, they always win, but I know I'll lose
And I'd sing a song that'd be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna learn to love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up, up

(Oh, need a love, now, my heart is thinking of)
I wanna sing a song that'd be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna fall in love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up, up"
